example_idx,age,work_class,education,education_num,marital_status,occupation,role_in_family,capital_gain,work_hours_per_week,gender,race,true_label,ans_1,ans_2,ans_3,ans_4,ans_5,ans_6,ans_7,ans_8,ans_9,ans_10,ans_11,worker_id_1,worker_id_2,worker_id_3,worker_id_4,worker_id_5,worker_id_6,worker_id_7,worker_id_8,worker_id_9,worker_id_10,worker_id_11
528,38,Private,Prim-middle-school,4,Civilian spouse,Machine-op-inspct,Wife,0,50,Female,White,1,4,3,3,1,3,3,2,3,1,3,1,worker_513,worker_505,worker_44,worker_54,worker_554,worker_27,worker_640,worker_55,worker_19,worker_212,worker_144
529,33,Private,High-school-grad,9,Civilian spouse,Transport-moving,Husband,0,50,Male,White,1,3,2,2,3,2,2,1,2,1,3,2,worker_203,worker_171,worker_253,worker_202,worker_120,worker_490,worker_173,worker_55,worker_141,worker_605,worker_640
530,48,State-gov,High-school-grad,9,Civilian spouse,Protective-serv,Husband,0,72,Male,White,1,3,2,3,4,2,4,4,3,4,3,4,worker_650,worker_627,worker_52,worker_371,worker_86,worker_360,worker_640,worker_29,worker_222,worker_16,worker_118
531,59,State-gov,Doctorate,16,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,4,4,3,4,4,4,4,4,4,3,2,worker_638,worker_83,worker_336,worker_143,worker_623,worker_240,worker_415,worker_142,worker_344,worker_214,worker_640
532,35,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,50,Male,White,1,2,3,4,4,4,3,4,4,4,2,4,worker_268,worker_640,worker_96,worker_322,worker_285,worker_324,worker_136,worker_216,worker_25,worker_334,worker_102
533,42,Self-employed (not inc.),Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,3,3,4,4,4,3,2,4,3,3,3,worker_640,worker_484,worker_230,worker_255,worker_286,worker_654,worker_28,worker_48,worker_445,worker_382,worker_313
534,71,Private,High-school-grad,9,Civilian spouse,Protective-serv,Husband,0,40,Male,White,1,2,2,2,2,1,2,2,3,2,2,1,worker_274,worker_478,worker_502,worker_332,worker_640,worker_455,worker_47,worker_169,worker_199,worker_644,worker_215
535,47,Private,Masters,14,Civilian spouse,Adm-clerical,Wife,7688,38,Female,White,1,3,3,4,3,4,3,4,3,3,3,4,worker_84,worker_240,worker_640,worker_77,worker_14,worker_356,worker_517,worker_584,worker_343,worker_577,worker_408
536,52,Local-gov,High-school-grad,9,Civilian spouse,Transport-moving,Husband,0,40,Male,White,1,1,2,2,3,3,3,2,2,3,2,3,worker_315,worker_258,worker_191,worker_145,worker_521,worker_259,worker_327,worker_238,worker_23,worker_640,worker_472
537,38,Self-employed (inc.),Some-college,10,Civilian spouse,Exec-managerial,Husband,0,80,Male,White,1,3,2,4,4,2,4,3,3,4,4,4,worker_253,worker_52,worker_326,worker_111,worker_618,worker_104,worker_329,worker_646,worker_421,worker_43,worker_640
538,44,Local-gov,Some-college,10,Civilian spouse,Protective-serv,Husband,0,40,Male,White,1,2,2,3,3,3,3,3,4,2,2,3,worker_315,worker_258,worker_191,worker_145,worker_521,worker_259,worker_327,worker_238,worker_23,worker_640,worker_472
539,38,Private,Bachelors,13,Civilian spouse,Prof-specialty,Wife,7688,40,Female,White,1,2,2,3,3,4,3,4,4,3,3,4,worker_563,worker_479,worker_209,worker_89,worker_379,worker_202,worker_571,worker_22,worker_623,worker_291,worker_640
540,50,Private,High-school-grad,9,Civilian spouse,Transport-moving,Husband,0,40,Male,White,1,2,3,3,4,2,3,3,1,2,3,3,worker_571,worker_397,worker_352,worker_379,worker_365,worker_312,worker_510,worker_640,worker_121,worker_637,worker_291
541,38,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,50,Female,White,1,2,4,4,3,3,4,4,4,2,3,2,worker_23,worker_174,worker_264,worker_51,worker_93,worker_370,worker_146,worker_291,worker_302,worker_640,worker_498
542,66,Private,Some-college,10,Widowed,Sales,Unmarried,0,50,Female,White,1,2,2,4,4,2,4,2,2,3,2,1,worker_36,worker_453,worker_379,worker_291,worker_34,worker_44,worker_563,worker_435,worker_239,worker_62,worker_571
543,65,Self-employed (not inc.),Some-college,10,Civilian spouse,Machine-op-inspct,Husband,6514,40,Male,White,1,3,3,4,4,4,4,3,3,3,4,2,worker_482,worker_589,worker_119,worker_114,worker_469,worker_640,worker_50,worker_389,worker_317,worker_60,worker_78
544,53,Federal-gov,Doctorate,16,Civilian spouse,Prof-specialty,Husband,15024,60,Male,White,1,4,3,4,4,3,4,2,4,4,3,4,worker_253,worker_52,worker_326,worker_111,worker_618,worker_104,worker_329,worker_646,worker_421,worker_43,worker_640
545,39,Private,Bachelors,13,Civilian spouse,Craft-repair,Husband,0,45,Male,White,1,2,3,2,3,3,3,3,3,2,3,2,worker_482,worker_589,worker_119,worker_114,worker_469,worker_640,worker_50,worker_389,worker_317,worker_60,worker_78
546,68,Private,Doctorate,16,Civilian spouse,Prof-specialty,Husband,0,55,Male,White,1,4,3,4,3,3,3,3,3,2,2,4,worker_133,worker_640,worker_431,worker_227,worker_112,worker_362,worker_481,worker_423,worker_169,worker_55,worker_46
547,45,Private,Bachelors,13,Civilian spouse,Sales,Husband,0,60,Male,White,1,2,3,4,4,4,4,3,3,4,4,4,worker_252,worker_160,worker_480,worker_647,worker_289,worker_525,worker_561,worker_640,worker_375,worker_426,worker_115
548,50,Private,Doctorate,16,Civilian spouse,Prof-specialty,Husband,0,55,Male,White,1,3,4,3,4,4,4,4,4,3,4,4,worker_563,worker_460,worker_379,worker_404,worker_298,worker_20,worker_187,worker_186,worker_260,worker_421,worker_26
549,42,Private,Bachelors,13,Civilian spouse,Sales,Husband,0,40,Male,Black,1,3,4,3,3,3,2,2,2,4,2,3,worker_286,worker_379,worker_45,worker_292,worker_571,worker_463,worker_442,worker_65,worker_291,worker_314,worker_640
550,53,Local-gov,Masters,14,Civilian spouse,Exec-managerial,Husband,0,43,Male,White,1,4,4,4,4,4,4,4,4,3,4,2,worker_646,worker_270,worker_495,worker_169,worker_486,worker_82,worker_409,worker_479,worker_640,worker_253,worker_563
551,47,Self-employed (inc.),Bachelors,13,Never-married,Sales,Child,0,40,Male,White,1,1,3,3,3,2,3,4,4,4,3,3,worker_577,worker_53,worker_544,worker_640,worker_617,worker_553,worker_305,worker_216,worker_455,worker_364,worker_182
552,44,Private,Some-college,10,Divorced,Sales,Unmarried,0,55,Male,White,1,3,4,4,2,2,3,3,3,3,2,3,worker_286,worker_379,worker_45,worker_292,worker_571,worker_463,worker_442,worker_65,worker_291,worker_314,worker_640
553,38,Private,High-school-grad,9,Civilian spouse,Machine-op-inspct,Husband,0,48,Male,White,1,3,1,2,2,2,3,4,2,2,2,3,worker_252,worker_160,worker_480,worker_647,worker_289,worker_525,worker_561,worker_640,worker_375,worker_426,worker_115
554,24,Local-gov,Some-college,10,Never-married,Tech-support,Not-in-family,14344,50,Male,White,1,3,4,3,3,3,3,3,4,3,3,4,worker_286,worker_379,worker_45,worker_292,worker_571,worker_463,worker_442,worker_65,worker_291,worker_314,worker_640
555,59,Private,High-school-grad,9,Divorced,Tech-support,Unmarried,0,60,Male,White,1,4,3,4,3,2,3,3,4,2,2,1,worker_253,worker_169,worker_640,worker_610,worker_346,worker_6,worker_145,worker_646,worker_288,worker_421,worker_368
556,48,Private,Masters,14,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,4,2,4,4,2,3,2,3,4,2,3,worker_253,worker_195,worker_421,worker_265,worker_580,worker_646,worker_493,worker_179,worker_169,worker_44,worker_479
557,57,Private,Some-college,10,Civilian spouse,Sales,Husband,0,40,Male,White,1,2,2,2,2,4,1,4,2,4,3,2,worker_236,worker_169,worker_12,worker_640,worker_440,worker_450,worker_153,worker_116,worker_96,worker_603,worker_265
558,37,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,15024,45,Male,White,1,3,4,4,4,2,3,3,4,3,4,3,worker_640,worker_193,worker_155,worker_579,worker_253,worker_263,worker_376,worker_505,worker_497,worker_169,worker_273
559,54,Private,High-school-grad,9,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,2,2,2,1,1,4,3,3,4,2,4,worker_39,worker_187,worker_103,worker_503,worker_640,worker_291,worker_571,worker_421,worker_230,worker_45,worker_216
560,56,Private,Some-college,10,Civilian spouse,Farming-fishing,Husband,0,60,Male,White,1,4,4,4,4,3,2,4,2,3,3,3,worker_266,worker_253,worker_306,worker_131,worker_640,worker_243,worker_646,worker_367,worker_570,worker_421,worker_479
561,41,Federal-gov,Masters,14,Divorced,Exec-managerial,Unmarried,0,40,Female,White,1,3,3,3,4,3,4,3,1,3,3,4,worker_57,worker_127,worker_549,worker_487,worker_640,worker_461,worker_2,worker_577,worker_140,worker_611,worker_207
562,45,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,4,4,3,4,3,4,3,4,4,4,4,worker_650,worker_627,worker_52,worker_371,worker_86,worker_360,worker_640,worker_29,worker_222,worker_16,worker_118
563,53,Private,High-school-grad,9,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,3,2,4,4,2,3,4,2,3,2,4,worker_152,worker_264,worker_231,worker_99,worker_286,worker_156,worker_463,worker_640,worker_549,worker_55,worker_631
564,46,Federal-gov,Some-college,10,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,3,2,3,2,3,2,3,3,3,4,3,worker_295,worker_485,worker_551,worker_640,worker_169,worker_91,worker_429,worker_601,worker_411,worker_549,worker_522
565,34,Private,High-school,6,Civilian spouse,Craft-repair,Husband,0,45,Male,White,1,1,3,2,2,2,2,2,2,2,3,2,worker_530,worker_101,worker_223,worker_221,worker_45,worker_158,worker_342,worker_492,worker_615,worker_49,worker_96
566,46,Private,Assoc-acdm,12,Civilian spouse,Machine-op-inspct,Husband,0,40,Male,White,1,2,3,3,3,3,3,4,4,2,3,2,worker_640,worker_193,worker_155,worker_579,worker_253,worker_263,worker_376,worker_505,worker_497,worker_169,worker_273
567,41,Private,Bachelors,13,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,3,2,3,4,3,4,3,2,3,1,3,worker_638,worker_83,worker_336,worker_143,worker_623,worker_240,worker_415,worker_142,worker_344,worker_214,worker_640
568,37,Private,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,50,Male,White,1,2,4,3,3,4,4,3,2,3,2,3,worker_433,worker_421,worker_30,worker_640,worker_94,worker_301,worker_68,worker_145,worker_414,worker_563,worker_479
569,34,Private,Some-college,10,Civilian spouse,Tech-support,Husband,0,40,Male,Black,1,2,3,3,4,3,2,2,3,2,2,1,worker_650,worker_627,worker_52,worker_371,worker_86,worker_360,worker_640,worker_29,worker_222,worker_16,worker_118
570,38,Private,High-school-grad,9,Civilian spouse,Adm-clerical,Husband,0,40,Male,White,1,2,3,1,1,1,2,3,2,3,2,1,worker_482,worker_589,worker_119,worker_114,worker_469,worker_640,worker_50,worker_389,worker_317,worker_60,worker_78
571,45,Private,Doctorate,16,Widowed,Prof-specialty,Unmarried,15020,40,Male,White,1,4,4,4,4,4,4,4,4,4,4,4,worker_96,worker_571,worker_519,worker_253,worker_348,worker_377,worker_640,worker_641,worker_524,worker_66,worker_309
572,32,Local-gov,High-school-grad,9,Civilian spouse,Other-service,Husband,3103,38,Male,Black,1,2,3,2,3,1,3,3,2,4,2,1,worker_441,worker_55,worker_61,worker_488,worker_173,worker_165,worker_13,worker_640,worker_507,worker_275,worker_308
573,45,Private,Some-college,10,Civilian spouse,Prof-specialty,Husband,0,50,Male,White,1,2,4,2,3,3,2,4,3,3,4,3,worker_243,worker_472,worker_388,worker_85,worker_640,worker_198,worker_646,worker_421,worker_286,worker_253,worker_479
574,38,Self-employed (inc.),High-school-grad,9,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,3,4,1,3,2,4,2,3,3,3,2,worker_84,worker_240,worker_640,worker_77,worker_14,worker_356,worker_517,worker_584,worker_343,worker_577,worker_408
575,48,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,0,40,Male,White,1,3,2,2,4,2,2,2,4,2,4,3,worker_5,worker_294,worker_136,worker_80,worker_533,worker_224,worker_184,worker_444,worker_318,worker_272,worker_270
576,40,Private,Assoc-acdm,12,Civilian spouse,Sales,Husband,0,60,Male,White,1,3,4,2,4,2,2,3,3,3,2,4,worker_436,worker_603,worker_470,worker_341,worker_18,worker_136,worker_588,worker_640,worker_612,worker_229,worker_571
577,24,Private,Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,44,Male,White,1,3,3,3,3,2,4,2,3,3,3,2,worker_599,worker_301,worker_640,worker_546,worker_253,worker_316,worker_646,worker_649,worker_400,worker_479,worker_611
578,48,Local-gov,Masters,14,Civilian spouse,Prof-specialty,Wife,0,40,Female,White,1,3,4,4,4,2,3,3,3,4,4,3,worker_5,worker_294,worker_136,worker_80,worker_533,worker_224,worker_184,worker_444,worker_318,worker_272,worker_270
579,45,Private,Bachelors,13,Civilian spouse,Tech-support,Husband,0,40,Male,Black,1,4,3,3,2,3,4,4,2,4,3,3,worker_169,worker_427,worker_508,worker_447,worker_180,worker_191,worker_35,worker_572,worker_476,worker_640,worker_340
580,46,State-gov,Prof-school,15,Never-married,Prof-specialty,Not-in-family,0,55,Female,White,1,2,4,4,4,3,3,3,4,2,4,2,worker_563,worker_460,worker_379,worker_404,worker_298,worker_20,worker_187,worker_186,worker_260,worker_421,worker_26
581,57,Federal-gov,Masters,14,Civilian spouse,Exec-managerial,Husband,15024,40,Male,Black,1,4,3,4,3,3,4,3,4,3,4,4,worker_271,worker_55,worker_640,worker_577,worker_171,worker_286,worker_629,worker_391,worker_325,worker_528,worker_620
582,35,Self-employed (inc.),Some-college,10,Civilian spouse,Sales,Husband,0,50,Male,White,1,3,3,2,3,2,3,1,2,2,2,3,worker_5,worker_294,worker_136,worker_80,worker_533,worker_224,worker_184,worker_444,worker_318,worker_272,worker_270
583,48,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,0,30,Male,White,1,1,3,4,2,4,3,3,3,2,3,2,worker_577,worker_53,worker_544,worker_640,worker_617,worker_553,worker_305,worker_216,worker_455,worker_364,worker_182
584,41,Private,High-school-grad,9,Civilian spouse,Transport-moving,Husband,0,50,Male,White,1,1,2,2,2,2,2,4,3,3,4,3,worker_243,worker_472,worker_388,worker_85,worker_640,worker_198,worker_646,worker_421,worker_286,worker_253,worker_479
585,34,Private,Some-college,10,Never-married,Exec-managerial,Not-in-family,0,40,Male,White,1,2,3,2,2,3,3,4,3,4,3,2,worker_236,worker_169,worker_12,worker_640,worker_440,worker_450,worker_153,worker_116,worker_96,worker_603,worker_265
586,39,Private,Assoc-acdm,12,Civilian spouse,Adm-clerical,Wife,0,25,Female,White,1,1,1,2,2,3,2,1,1,2,2,1,worker_596,worker_479,worker_381,worker_245,worker_253,worker_448,worker_640,worker_574,worker_496,worker_646,worker_477
587,73,Self-employed (not inc.),Doctorate,16,Civilian spouse,Prof-specialty,Husband,0,28,Male,White,1,3,4,4,4,3,3,4,4,3,3,3,worker_182,worker_373,worker_357,worker_449,worker_640,worker_455,worker_204,worker_190,worker_3,worker_70,worker_132
588,61,Self-employed (not inc.),Prim-middle-school,4,Civilian spouse,Sales,Husband,0,30,Male,White,1,3,1,3,1,3,3,2,1,2,2,3,worker_433,worker_421,worker_30,worker_640,worker_94,worker_301,worker_68,worker_145,worker_414,worker_563,worker_479
589,46,State-gov,Bachelors,13,Civilian spouse,Exec-managerial,Husband,7688,40,Male,White,1,3,3,4,2,4,4,4,4,3,3,4,worker_97,worker_162,worker_565,worker_178,worker_640,worker_471,worker_386,worker_571,worker_510,worker_648,worker_559
590,32,Private,Assoc-voc,11,Civilian spouse,Craft-repair,Husband,0,50,Male,White,1,4,2,2,4,2,4,3,3,4,3,2,worker_57,worker_127,worker_549,worker_487,worker_640,worker_461,worker_2,worker_577,worker_140,worker_611,worker_207
591,61,State-gov,Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,3,3,4,3,4,4,3,4,2,4,3,worker_640,worker_33,worker_531,worker_16,worker_392,worker_169,worker_200,worker_646,worker_93,worker_109,worker_21
592,32,Self-employed (not inc.),Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,50,Male,White,1,3,3,4,2,3,3,4,4,4,4,4,worker_292,worker_192,worker_321,worker_405,worker_253,worker_640,worker_96,worker_571,worker_269,worker_384,worker_290
593,43,Local-gov,Bachelors,13,Civilian spouse,Prof-specialty,Wife,0,45,Female,White,1,3,3,4,4,3,3,2,4,4,4,4,worker_39,worker_187,worker_103,worker_503,worker_640,worker_291,worker_571,worker_421,worker_230,worker_45,worker_216
594,47,Federal-gov,Some-college,10,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,4,3,3,3,2,2,4,4,3,2,3,worker_253,worker_136,worker_511,worker_38,worker_412,worker_304,worker_446,worker_320,worker_571,worker_640,worker_139
595,52,Private,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,48,Male,White,1,2,4,4,4,4,3,4,3,3,4,4,worker_243,worker_472,worker_388,worker_85,worker_640,worker_198,worker_646,worker_421,worker_286,worker_253,worker_479
596,40,Local-gov,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,60,Male,White,1,4,4,4,2,4,3,3,4,4,3,4,worker_640,worker_253,worker_506,worker_10,worker_75,worker_652,worker_276,worker_15,worker_169,worker_55,worker_460
597,51,Private,Masters,14,Civilian spouse,Prof-specialty,Husband,7688,45,Male,White,1,4,4,4,3,4,4,3,4,4,2,4,worker_640,worker_253,worker_506,worker_10,worker_75,worker_652,worker_276,worker_15,worker_169,worker_55,worker_460
598,48,Federal-gov,High-school-grad,9,Civilian spouse,Transport-moving,Husband,0,40,Male,Black,1,2,1,3,3,1,2,3,2,1,2,1,worker_274,worker_478,worker_502,worker_332,worker_640,worker_455,worker_47,worker_169,worker_199,worker_644,worker_215
599,51,Self-employed (not inc.),Some-college,10,Civilian spouse,Exec-managerial,Husband,0,99,Male,White,1,3,2,4,3,4,3,4,4,2,3,3,worker_385,worker_362,worker_370,worker_499,worker_257,worker_35,worker_541,worker_640,worker_214,worker_538,worker_197
600,52,Self-employed (inc.),Prof-school,15,Civilian spouse,Sales,Husband,0,40,Male,White,1,3,4,3,2,3,4,2,2,2,3,2,worker_300,worker_90,worker_514,worker_14,worker_107,worker_58,worker_144,worker_557,worker_105,worker_92,worker_307
601,48,State-gov,Masters,14,Civilian spouse,Exec-managerial,Husband,0,55,Male,White,1,3,4,3,4,3,4,4,4,4,4,4,worker_300,worker_90,worker_514,worker_14,worker_107,worker_58,worker_144,worker_557,worker_105,worker_92,worker_307
602,32,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,55,Male,White,1,4,4,4,3,3,3,4,4,4,4,1,worker_236,worker_169,worker_12,worker_640,worker_440,worker_450,worker_153,worker_116,worker_96,worker_603,worker_265
603,26,Private,Assoc-acdm,12,Civilian spouse,Prof-specialty,Wife,0,40,Female,White,1,2,3,2,3,2,3,1,1,3,3,4,worker_599,worker_301,worker_640,worker_546,worker_253,worker_316,worker_646,worker_649,worker_400,worker_479,worker_611
604,34,Private,Masters,14,Civilian spouse,Exec-managerial,Wife,15024,45,Female,White,1,3,2,2,2,4,3,3,4,4,4,4,worker_567,worker_366,worker_571,worker_253,worker_67,worker_545,worker_181,worker_640,worker_292,worker_353,worker_457
605,40,Private,Bachelors,13,Civilian spouse,Sales,Husband,0,45,Male,White,1,2,3,3,4,3,3,3,3,4,2,3,worker_567,worker_366,worker_571,worker_253,worker_67,worker_545,worker_181,worker_640,worker_292,worker_353,worker_457
606,24,Self-employed (not inc.),Bachelors,13,Civilian spouse,Prof-specialty,Other-relative,0,20,Female,White,1,2,1,2,3,1,2,1,4,2,2,1,worker_243,worker_472,worker_388,worker_85,worker_640,worker_198,worker_646,worker_421,worker_286,worker_253,worker_479
607,55,Self-employed (inc.),Some-college,10,Civilian spouse,Sales,Husband,0,40,Male,White,1,2,2,3,3,3,3,3,3,4,3,2,worker_235,worker_520,worker_169,worker_479,worker_563,worker_333,worker_640,worker_399,worker_646,worker_421,worker_56
608,41,Private,Some-college,10,Divorced,Other-service,Not-in-family,0,36,Female,White,1,2,1,2,3,3,2,2,2,3,1,2,worker_96,worker_571,worker_519,worker_253,worker_348,worker_377,worker_640,worker_641,worker_524,worker_66,worker_309
609,58,State-gov,Bachelors,13,Widowed,Tech-support,Unmarried,0,40,Female,White,1,3,3,2,4,4,2,3,3,3,4,4,worker_55,worker_602,worker_267,worker_59,worker_11,worker_639,worker_582,worker_640,worker_171,worker_353,worker_555
610,47,Federal-gov,Bachelors,13,Civilian spouse,Protective-serv,Husband,0,45,Male,White,1,4,3,3,4,2,3,3,3,4,3,1,worker_513,worker_505,worker_44,worker_54,worker_554,worker_27,worker_640,worker_55,worker_19,worker_212,worker_144
611,31,Private,Prof-school,15,Civilian spouse,Prof-specialty,Husband,0,70,Male,White,1,4,4,3,4,2,4,4,4,3,4,3,worker_69,worker_421,worker_179,worker_63,worker_563,worker_640,worker_494,worker_645,worker_291,worker_571,worker_398
612,44,Self-employed (inc.),High-school-grad,9,Civilian spouse,Exec-managerial,Husband,0,70,Male,White,1,4,4,4,3,3,4,4,4,2,4,4,worker_176,worker_233,worker_479,worker_292,worker_420,worker_181,worker_130,worker_640,worker_571,worker_96,worker_253
613,68,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,3,3,4,4,4,4,4,3,4,3,3,worker_138,worker_256,worker_253,worker_8,worker_70,worker_640,worker_619,worker_277,worker_458,worker_571,worker_358
614,60,State-gov,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,50,Male,White,1,4,3,4,3,4,3,3,3,3,4,4,worker_44,worker_518,worker_253,worker_640,worker_96,worker_355,worker_134,worker_571,worker_556,worker_387,worker_501
615,41,Federal-gov,Some-college,10,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,3,2,3,3,4,3,3,3,4,3,2,worker_203,worker_171,worker_253,worker_202,worker_120,worker_490,worker_173,worker_55,worker_141,worker_605,worker_640
616,44,Private,High-school-grad,9,Civilian spouse,Adm-clerical,Wife,0,40,Female,White,1,2,1,3,1,4,2,2,2,2,3,2,worker_650,worker_627,worker_52,worker_371,worker_86,worker_360,worker_640,worker_29,worker_222,worker_16,worker_118
617,43,Private,Bachelors,13,Civilian spouse,Sales,Husband,0,40,Male,White,1,3,4,2,3,4,3,3,3,3,3,4,worker_176,worker_233,worker_479,worker_292,worker_420,worker_181,worker_130,worker_640,worker_571,worker_96,worker_253
618,62,Private,Assoc-acdm,12,Civilian spouse,Craft-repair,Husband,0,40,Male,White,1,3,2,2,2,4,1,2,2,2,3,2,worker_17,worker_402,worker_99,worker_331,worker_72,worker_248,worker_468,worker_151,worker_640,worker_183,worker_455
619,41,Private,Bachelors,13,Civilian spouse,Tech-support,Wife,0,25,Female,White,1,3,3,4,2,3,3,3,1,4,2,4,worker_152,worker_264,worker_231,worker_99,worker_286,worker_156,worker_463,worker_640,worker_549,worker_55,worker_631
620,44,Private,Bachelors,13,Divorced,Exec-managerial,Child,0,50,Female,White,1,3,3,3,4,4,4,4,3,4,4,4,worker_400,worker_169,worker_450,worker_526,worker_509,worker_163,worker_465,worker_640,worker_594,worker_412,worker_422
621,27,Private,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,2,3,4,3,3,3,3,4,2,4,3,worker_171,worker_339,worker_297,worker_475,worker_655,worker_169,worker_640,worker_311,worker_406,worker_159,worker_403
622,38,Self-employed (inc.),Some-college,10,Civilian spouse,Other-service,Wife,0,20,Female,White,1,1,2,1,1,1,2,1,1,1,1,2,worker_640,worker_103,worker_122,worker_396,worker_571,worker_303,worker_181,worker_119,worker_96,worker_9,worker_253
623,42,Private,High-school-grad,9,Civilian spouse,Craft-repair,Husband,0,50,Male,White,1,2,3,2,4,2,2,2,2,2,4,4,worker_243,worker_646,worker_169,worker_253,worker_640,worker_563,worker_5,worker_432,worker_1,worker_106,worker_216
624,50,Private,Some-college,10,Civilian spouse,Sales,Husband,0,60,Male,White,1,2,3,3,4,3,4,2,3,4,4,3,worker_567,worker_366,worker_571,worker_253,worker_67,worker_545,worker_181,worker_640,worker_292,worker_353,worker_457
625,28,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,0,50,Female,White,1,3,3,4,2,2,3,2,3,3,4,4,worker_44,worker_640,worker_642,worker_571,worker_100,worker_500,worker_253,worker_149,worker_611,worker_292,worker_233
626,34,Private,Bachelors,13,Never-married,Sales,Not-in-family,0,65,Male,White,1,3,4,2,4,4,3,4,2,3,2,4,worker_640,worker_651,worker_534,worker_96,worker_253,worker_639,worker_219,worker_571,worker_292,worker_210,worker_479
627,35,Private,Assoc-voc,11,Civilian spouse,Exec-managerial,Husband,7298,50,Male,White,1,4,2,4,3,3,3,2,4,2,4,4,worker_567,worker_366,worker_571,worker_253,worker_67,worker_545,worker_181,worker_640,worker_292,worker_353,worker_457
628,43,Private,High-school-grad,9,Divorced,Exec-managerial,Unmarried,0,40,Female,White,1,2,2,1,3,3,3,2,3,2,3,2,worker_640,worker_193,worker_155,worker_579,worker_253,worker_263,worker_376,worker_505,worker_497,worker_169,worker_273
629,40,Self-employed (not inc.),Prof-school,15,Civilian spouse,Prof-specialty,Husband,0,60,Male,White,1,3,2,4,3,3,2,2,3,3,2,3,worker_640,worker_597,worker_280,worker_292,worker_571,worker_237,worker_395,worker_168,worker_542,worker_351,worker_409
630,55,Private,Masters,14,Civilian spouse,Exec-managerial,Husband,0,40,Male,White,1,2,4,4,3,4,4,2,4,4,4,4,worker_44,worker_518,worker_253,worker_640,worker_96,worker_355,worker_134,worker_571,worker_556,worker_387,worker_501
631,48,Federal-gov,High-school-grad,9,Civilian spouse,Adm-clerical,Husband,0,50,Male,Black,1,2,3,2,3,3,2,3,3,2,3,2,worker_205,worker_578,worker_354,worker_289,worker_577,worker_640,worker_261,worker_169,worker_226,worker_540,worker_249
632,39,Private,Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,3,4,3,3,4,2,3,3,3,3,3,worker_161,worker_421,worker_443,worker_571,worker_220,worker_160,worker_489,worker_640,worker_292,worker_416,worker_7
633,23,Private,Some-college,10,Civilian spouse,Adm-clerical,Husband,0,40,Male,White,1,1,3,2,2,2,2,2,3,2,2,3,worker_640,worker_597,worker_280,worker_292,worker_571,worker_237,worker_395,worker_168,worker_542,worker_351,worker_409
634,81,Private,Prof-school,15,Civilian spouse,Farming-fishing,Husband,10605,2,Male,White,1,1,1,4,2,3,1,2,4,2,2,4,worker_122,worker_609,worker_640,worker_237,worker_319,worker_328,worker_40,worker_36,worker_423,worker_608,worker_76
635,43,Private,Some-college,10,Civilian spouse,Sales,Husband,0,43,Male,White,1,3,2,3,3,3,2,3,4,3,2,2,worker_23,worker_174,worker_264,worker_51,worker_93,worker_370,worker_146,worker_291,worker_302,worker_640,worker_498
636,40,Self-employed (not inc.),Some-college,10,Civilian spouse,Tech-support,Husband,0,50,Male,White,1,3,3,3,3,4,3,3,3,3,3,3,worker_633,worker_55,worker_71,worker_286,worker_173,worker_635,worker_640,worker_126,worker_172,worker_382,worker_557
637,31,Private,Bachelors,13,Civilian spouse,Exec-managerial,Husband,0,55,Male,White,1,4,4,4,4,2,3,3,4,2,3,4,worker_235,worker_520,worker_169,worker_479,worker_563,worker_333,worker_640,worker_399,worker_646,worker_421,worker_56
638,41,Private,Bachelors,13,Civilian spouse,Prof-specialty,Husband,0,40,Male,White,1,4,3,3,4,3,4,4,3,4,4,3,worker_5,worker_294,worker_136,worker_80,worker_533,worker_224,worker_184,worker_444,worker_318,worker_272,worker_270
